time,TotalEnergy
808315.00127875,9.6033021599
810569.58413728,9.6032910233
813563.75715939,9.6032777249
817046.82704005,9.6032639879
820959.62214096,9.6032505349
824970.2371194,9.6032383029
829078.67197536,9.6032273227
833228.19117988,9.6032176182
837671.4634766,9.6032087232
842291.60389387,9.6032006533
847047.630794,9.6031934969
851874.99809763,9.6031872973
856868.82634277,9.6031819861
861887.62372913,9.6031773907
867131.14338653,9.6031733183
872374.66304392,9.6031700557
877618.18270132,9.6031670805
882861.70235871,9.6031647132
888314.9628024,9.6031630243
893903.24387727,9.6031610124
899684.22429954,9.6031595499
905465.20472182,9.6031588624
911246.1851441,9.603157431
917229.49988115,9.603156858
923299.52932455,9.6031560678
929430.25906237,9.6031554707
935803.78997793,9.6031557175

